FSA,Bracket,Number
A1N,"$20,000 to $24,999",1470
A1N,"$25,000 to $29,999",1200
A1N,"$30,000 to $34,999",1260
A1N,"$35,000 to $39,999",1170
A1N,"$40,000 to $44,999",1180
A1N,"$45,000 to $49,999",1150
A1N,"$50,000 to $54,999",940
A1N,"$55,000 to $59,999",860
A1N,"$60,000 to $69,999",1330
A1N,"$70,000 to $79,999",1050
A1N,"$80,000 to $89,999",700
A1N,"$90,000 to $99,999",550
A1N,"$100,000 to $149,999",1260
A1N,"$150,000 to $249,999",390
A1N,"$250,000 and over",140
A1S,"Under $5,000",300
A1S,"$5,000 to $9,999",290
A1S,"$10,000 to $14,999",430
A1S,"$15,000 to $19,999",450
A1S,"$20,000 to $24,999",410
A1S,"$25,000 to $29,999",330
A1S,"$30,000 to $34,999",320
A1S,"$35,000 to $39,999",330
A1S,"$40,000 to $44,999",320
A1S,"$45,000 to $49,999",290
A1S,"$50,000 to $54,999",270
A1S,"$55,000 to $59,999",220
A1S,"$60,000 to $69,999",360
A1S,"$70,000 to $79,999",280
A1S,"$80,000 to $89,999",190
A1S,"$90,000 to $99,999",150
A1S,"$100,000 to $149,999",410
A1S,"$150,000 to $249,999",140
A1S,"$250,000 and over",30
A1V,"Under $5,000",510
A1V,"$5,000 to $9,999",510
A1V,"$10,000 to $14,999",660
A1V,"$15,000 to $19,999",740
A1V,"$20,000 to $24,999",790
A1V,"$25,000 to $29,999",620
A1V,"$30,000 to $34,999",590
A1V,"$35,000 to $39,999",540
A1V,"$40,000 to $44,999",530
A1V,"$45,000 to $49,999",490
A1V,"$50,000 to $54,999",380
A1V,"$55,000 to $59,999",370
A1V,"$60,000 to $69,999",590
A1V,"$70,000 to $79,999",460
A1V,"$80,000 to $89,999",390
A1V,"$90,000 to $99,999",300
A1V,"$100,000 to $149,999",700
A1V,"$150,000 to $249,999",270
A1V,"$250,000 and over",120
A1W,"Under $5,000",490
A1W,"$5,000 to $9,999",400
A1W,"$10,000 to $14,999",560
A1W,"$15,000 to $19,999",660
A1W,"$20,000 to $24,999",660
A1W,"$25,000 to $29,999",490
A1W,"$30,000 to $34,999",490
A1W,"$35,000 to $39,999",460
A1W,"$40,000 to $44,999",480
A1W,"$45,000 to $49,999",470
A1W,"$50,000 to $54,999",420
A1W,"$55,000 to $59,999",390
A1W,"$60,000 to $69,999",660
A1W,"$70,000 to $79,999",520
A1W,"$80,000 to $89,999",400
A1W,"$90,000 to $99,999",320
A1W,"$100,000 to $149,999",840
A1W,"$150,000 to $249,999",290
A1W,"$250,000 and over",90
A1X,"Under $5,000",720
A1X,"$5,000 to $9,999",540
A1X,"$10,000 to $14,999",860
A1X,"$15,000 to $19,999",920
A1X,"$20,000 to $24,999",910
A1X,"$25,000 to $29,999",730
A1X,"$30,000 to $34,999",760
A1X,"$35,000 to $39,999",670
A1X,"$40,000 to $44,999",630
A1X,"$45,000 to $49,999",670
A1X,"$50,000 to $54,999",540
A1X,"$55,000 to $59,999",520
A1X,"$60,000 to $69,999",800
A1X,"$70,000 to $79,999",680
A1X,"$80,000 to $89,999",510
A1X,"$90,000 to $99,999",370
A1X,"$100,000 to $149,999",930
A1X,"$150,000 to $249,999",260
A1X,"$250,000 and over",60
A1Y,"Under $5,000",290
A1Y,"$5,000 to $9,999",280
A1Y,"$10,000 to $14,999",470
A1Y,"$15,000 to $19,999",560
A1Y,"$20,000 to $24,999",530
A1Y,"$25,000 to $29,999",360
A1Y,"$30,000 to $34,999",340
A1Y,"$35,000 to $39,999",270
A1Y,"$40,000 to $44,999",230
A1Y,"$45,000 to $49,999",210
A1Y,"$50,000 to $54,999",170
A1Y,"$55,000 to $59,999",130
A1Y,"$60,000 to $69,999",190
A1Y,"$70,000 to $79,999",160
A1Y,"$80,000 to $89,999",110
A1Y,"$90,000 to $99,999",90
A1Y,"$100,000 to $149,999",230
A1Y,"$150,000 to $249,999",90
A1Y,"$250,000 and over",20
A2A,"Under $5,000",540
A2A,"$5,000 to $9,999",440
A2A,"$10,000 to $14,999",610
A2A,"$15,000 to $19,999",650
A2A,"$20,000 to $24,999",660
A2A,"$25,000 to $29,999",500
A2A,"$30,000 to $34,999",500
A2A,"$35,000 to $39,999",480
A2A,"$40,000 to $44,999",420
A2A,"$45,000 to $49,999",430
A2A,"$50,000 to $54,999",320
A2A,"$55,000 to $59,999",300
A2A,"$60,000 to $69,999",420
A2A,"$70,000 to $79,999",320
A2A,"$80,000 to $89,999",270
A2A,"$90,000 to $99,999",210
A2A,"$100,000 to $149,999",500
A2A,"$150,000 to $249,999",180
A2A,"$250,000 and over",60
A2B,"Under $5,000",270
A2B,"$5,000 to $9,999",250
A2B,"$10,000 to $14,999",460
A2B,"$15,000 to $19,999",470
A2B,"$20,000 to $24,999",480
A2B,"$25,000 to $29,999",310
A2B,"$30,000 to $34,999",290
A2B,"$35,000 to $39,999",260
A2B,"$40,000 to $44,999",240
A2B,"$45,000 to $49,999",180
A2B,"$50,000 to $54,999",100
A2B,"$55,000 to $59,999",110
A2B,"$60,000 to $69,999",180
A2B,"$70,000 to $79,999",100
A2B,"$80,000 to $89,999",80
A2B,"$90,000 to $99,999",60
A2B,"$100,000 to $149,999",140
A2B,"$150,000 to $249,999",40
A2B,"$250,000 and over",10
A2H,"Under $5,000",1230
A2H,"$5,000 to $9,999",1200
A2H,"$10,000 to $14,999",1660
A2H,"$15,000 to $19,999",1930
A2H,"$20,000 to $24,999",2180
A2H,"$25,000 to $29,999",1540
A2H,"$30,000 to $34,999",1360
A2H,"$35,000 to $39,999",1300
A2H,"$40,000 to $44,999",1230
A2H,"$45,000 to $49,999",1090
A2H,"$50,000 to $54,999",960
A2H,"$55,000 to $59,999",800
A2H,"$60,000 to $69,999",1220
A2H,"$70,000 to $79,999",890
A2H,"$80,000 to $89,999",700
A2H,"$90,000 to $99,999",510
A2H,"$100,000 to $149,999",1190
A2H,"$150,000 to $249,999",310
A2H,"$250,000 and over",140
