timestamp_utc,timestamp_local,group,trips_tracked,trips_canceled,delays_observed,mean_delay_s,median_delay_s,p90_delay_s,pct_early,pct_ontime,pct_late,error
2026-07-13T02:15:02Z,2026-07-12T22:15:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T02:15:02Z,2026-07-12T22:15:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T02:30:02Z,2026-07-12T22:30:02-0400,all,175,0,0,,,,,,,
2026-07-13T02:30:02Z,2026-07-12T22:30:02-0400,bus,175,0,0,,,,,,,
2026-07-13T02:30:02Z,2026-07-12T22:30:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T02:30:02Z,2026-07-12T22:30:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T02:45:02Z,2026-07-12T22:45:02-0400,all,164,0,0,,,,,,,
2026-07-13T02:45:02Z,2026-07-12T22:45:02-0400,bus,164,0,0,,,,,,,
2026-07-13T02:45:02Z,2026-07-12T22:45:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T02:45:02Z,2026-07-12T22:45:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T03:00:01Z,2026-07-12T23:00:01-0400,all,150,0,0,,,,,,,
2026-07-13T03:00:01Z,2026-07-12T23:00:01-0400,bus,150,0,0,,,,,,,
2026-07-13T03:00:01Z,2026-07-12T23:00:01-0400,otrain,0,0,0,,,,,,,
2026-07-13T03:00:01Z,2026-07-12T23:00:01-0400,unknown,0,0,0,,,,,,,
2026-07-13T03:15:02Z,2026-07-12T23:15:02-0400,all,141,0,0,,,,,,,
2026-07-13T03:15:02Z,2026-07-12T23:15:02-0400,bus,141,0,0,,,,,,,
2026-07-13T03:15:02Z,2026-07-12T23:15:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T03:15:02Z,2026-07-12T23:15:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T03:30:02Z,2026-07-12T23:30:02-0400,all,126,0,0,,,,,,,
2026-07-13T03:30:02Z,2026-07-12T23:30:02-0400,bus,126,0,0,,,,,,,
2026-07-13T03:30:02Z,2026-07-12T23:30:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T03:30:02Z,2026-07-12T23:30:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T03:45:01Z,2026-07-12T23:45:01-0400,all,108,0,0,,,,,,,
2026-07-13T03:45:01Z,2026-07-12T23:45:01-0400,bus,108,0,0,,,,,,,
2026-07-13T03:45:01Z,2026-07-12T23:45:01-0400,otrain,0,0,0,,,,,,,
2026-07-13T03:45:01Z,2026-07-12T23:45:01-0400,unknown,0,0,0,,,,,,,
2026-07-13T04:00:02Z,2026-07-13T00:00:02-0400,all,93,0,0,,,,,,,
2026-07-13T04:00:02Z,2026-07-13T00:00:02-0400,bus,93,0,0,,,,,,,
2026-07-13T04:00:02Z,2026-07-13T00:00:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T04:00:02Z,2026-07-13T00:00:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T04:15:01Z,2026-07-13T00:15:01-0400,all,71,0,0,,,,,,,
2026-07-13T04:15:01Z,2026-07-13T00:15:01-0400,bus,71,0,0,,,,,,,
2026-07-13T04:15:01Z,2026-07-13T00:15:01-0400,otrain,0,0,0,,,,,,,
2026-07-13T04:15:01Z,2026-07-13T00:15:01-0400,unknown,0,0,0,,,,,,,
2026-07-13T04:30:02Z,2026-07-13T00:30:02-0400,all,56,0,0,,,,,,,
2026-07-13T04:30:02Z,2026-07-13T00:30:02-0400,bus,56,0,0,,,,,,,
2026-07-13T04:30:02Z,2026-07-13T00:30:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T04:30:02Z,2026-07-13T00:30:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T04:45:02Z,2026-07-13T00:45:02-0400,all,43,0,0,,,,,,,
2026-07-13T04:45:02Z,2026-07-13T00:45:02-0400,bus,43,0,0,,,,,,,
2026-07-13T04:45:02Z,2026-07-13T00:45:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T04:45:02Z,2026-07-13T00:45:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T05:00:02Z,2026-07-13T01:00:02-0400,all,37,0,0,,,,,,,
2026-07-13T05:00:02Z,2026-07-13T01:00:02-0400,bus,37,0,0,,,,,,,
